hero_code,hero_name,hero_url,table_pick_rate,table_win_rate,table_ban_rate,list_top_sets,list_hard_heroes,list_with_heroes,detail_rank_text,detail_win_rate_text,detail_hard_heroes,detail_with_heroes,detail_pick_order_pick_rate_chart,detail_pick_order_ban_rate_chart,detail_win_rate_chart,pickrate_1,pickrate_2,pickrate_3,pickrate_4,pickrate_5,banrate_1,banrate_2,banrate_3,banrate_4,banrate_5
c2049,메이드 클로에,https://epic7.onstove.com/ko/gg/herorecord/c2049,10.51,63.79,17.08,set_max_hp | set_speed,c2131 | c1168 | c2124,c2124 | c2131 | c2113,41 위 / 259,63.79%,c2131 | c1168 | c2124,c2124 | c2131 | c2113,,,,,,,,,,,,,
c2024,잿빛 숲의 이세리아,https://epic7.onstove.com/ko/gg/herorecord/c2024,9.92,62.69,9.04,set_cri | set_speed,c2131 | c2124 | c2076,c1172 | c6005 | c2124,50 위 / 259,62.69%,c2131 | c2124 | c2076,c1172 | c6005 | c2124,,,,,,,,,,,,,
c2103,영안의 셀린,https://epic7.onstove.com/ko/gg/herorecord/c2103,9.65,59.36,16.28,set_penetrate | set_speed,c2001 | c2131 | c2076,c2124 | c1133 | c5072,92 위 / 259,59.36%,c2001 | c2131 | c2076,c2124 | c1133 | c5072,,,,,,,,,,,,,
c1176,설화,https://epic7.onstove.com/ko/gg/herorecord/c1176,9.12,62.67,32.8,set_immune | set_riposte,c2124 | c1168 | c2001,c2131 | c2001 | c1022,51 위 / 259,62.67%,c2124 | c1168 | c2001,c2131 | c2001 | c1022,,,,,,,,,,,,,
c2066,신월의 루나,https://epic7.onstove.com/ko/gg/herorecord/c2066,8.85,60.88,37.92,set_immune | set_speed,c2124 | c2113 | c2076,c2001 | c2131 | c1117,71 위 / 259,60.88%,c2124 | c2113 | c2076,c2001 | c2131 | c1117,,,,,,,,,,,,,
c6050,호반의 마녀 테네브리아,https://epic7.onstove.com/ko/gg/herorecord/c6050,7.94,60.39,30.02,set_acc | set_speed,c2124 | c2131 | c2001,c1168 | c2001 | c2131,82 위 / 259,60.39%,c2124 | c2131 | c2001,c1168 | c2001 | c2131,,,,,,,,,,,,,
c2128,방관자 화영,https://epic7.onstove.com/ko/gg/herorecord/c2128,7.36,53.88,36.07,set_counter | set_penetrate,c2001 | c2076 | c6024,c2124 | c2131 | c1022,147 위 / 259,53.88%,c2001 | c2076 | c6024,c2124 | c2131 | c1022,,,,,,,,,,,,,
c1150,베로니카,https://epic7.onstove.com/ko/gg/herorecord/c1150,6.97,59.34,28.32,set_acc | set_speed,c2076 | c1133 | c2001,c2001 | c1168 | c1172,93 위 / 259,59.34%,c2076 | c1133 | c2001,c2001 | c1168 | c1172,,,,,,,,,,,,,
c5110,한낮의 유영 플랑,https://epic7.onstove.com/ko/gg/herorecord/c5110,6.92,60.75,29.72,set_penetrate | set_speed,c2131 | c2001 | c1168,c2124 | c2001 | c2024,73 위 / 259,60.75%,c2131 | c2001 | c1168,c2124 | c2001 | c2024,,,,,,,,,,,,,
c1153,하르세티,https://epic7.onstove.com/ko/gg/herorecord/c1153,6.43,58.88,24.34,set_max_hp | set_scar,c2001 | c5072 | c2131,c2113 | c2001 | c2124,105 위 / 259,58.88%,c2001 | c5072 | c2131,c2113 | c2001 | c2124,,,,,,,,,,,,,
c1104,모르트,https://epic7.onstove.com/ko/gg/herorecord/c1104,5.68,67.73,49.11,set_cri_dmg | set_max_hp,c6024 | c2001 | c1022,c2131 | c2124 | c2001,31 위 / 259,67.73%,c6024 | c2001 | c1022,c2131 | c2124 | c2001,,,,,,,,,,,,,
c1178,헤카테,https://epic7.onstove.com/ko/gg/herorecord/c1178,5.53,54.07,25.72,set_immune | set_opener,c1022 | c2001 | c6005,c1168 | c2131 | c2001,143 위 / 259,54.07%,c1022 | c2001 | c6005,c1168 | c2131 | c2001,,,,,,,,,,,,,
c5111,축제의 에다,https://epic7.onstove.com/ko/gg/herorecord/c5111,4.76,59.93,26.44,set_max_hp | set_speed,c2124 | c1168 | c1172,c2076 | c2001 | c2131,89 위 / 259,59.93%,c2124 | c1168 | c1172,c2076 | c2001 | c2131,,,,,,,,,,,,,
c2129,풍기위원 아리아,https://epic7.onstove.com/ko/gg/herorecord/c2129,4.59,58.18,23.44,set_cri_dmg | set_penetrate,c2001 | c2076 | c1168,c2124 | c2131 | c2113,114 위 / 259,58.18%,c2001 | c2076 | c1168,c2124 | c2131 | c2113,,,,,,,,,,,,,
